group,title,link,thumbnail
ITZY,ICY,https://youtu.be/zndvqTc4P9I?si=t5MT3tZibwnNtCOX,https://i.ytimg.com/vi/zndvqTc4P9I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDq8hQOyzrrvj3EUFp8kfgstvYWNQ
ITZY,달라달라(DALLA DALLA),https://youtu.be/pNfTK39k55U?si=rPfhnMUGTDGRr47W,https://i.ytimg.com/vi/pNfTK39k55U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCnyuzgT_mOWI6DXU6lPYPvHiO6Lw
ITZY,Not Shy,https://youtu.be/wTowEKjDGkU?si=hW23_NRbFKZ7xecZ,https://i.ytimg.com/vi/wTowEKjDGkU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBd-4pSEOvIBr9--dWBgV0GdBGbQw
ITZY,마.피.아. In the morning,https://youtu.be/_ysomCGaZLw?si=FHqgrnhCPJoxpsWI,https://i.ytimg.com/vi/_ysomCGaZLw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvsVeywBLA2sj4zsVDjwbJsyKz5Q
ITZY,LOCO,https://youtu.be/MjCZfZfucEc?si=1P5yoR_8Tpjma1qK,https://i.ytimg.com/vi/MjCZfZfucEc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9vLmtF2NlA2GAF4r7c1EZhydsTg
ITZY,SWIPE,https://youtu.be/9oyodEkzn94?si=ius74j33QeqvWN8T,https://i.ytimg.com/vi/9oyodEkzn94/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBR-cWZFGML-mjZctx_Iq-navn7HQ
ITZY,Voltage,https://youtu.be/krzf1hkFAZA?si=zkWljFreZyv1FDwa,https://i.ytimg.com/vi/krzf1hkFAZA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCoZo7JTj5Ey9ddUNk05zSpBYgyEA
ITZY,SNEAKERS,https://youtu.be/Hbb5GPxXF1w?si=X45j3AcqxWO-gqjP,https://i.ytimg.com/vi/Hbb5GPxXF1w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9JaAXYrTgb44R6VU1A9GnjygtDA
ITZY,Boys Like You,https://youtu.be/6uZy86ePgO0?si=i8hq1xJsJZE469eP,https://i.ytimg.com/vi/6uZy86ePgO0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8nyDVBUMTqFoBwBWAmPA9OjIQzQ
ITZY,Cheshire,https://youtu.be/zugAhfd2r0g?si=gv_VUAFs7hFNf4P3,https://i.ytimg.com/vi/zugAhfd2r0g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbDWbA0GrUbrY-ALVlRuBsgqaYpg
ITZY,BET ON ME,https://youtu.be/RmTq3cJqyCo?si=vhJpcvffOZo9igVY,https://i.ytimg.com/vi/RmTq3cJqyCo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD3o1PcDdcHv3cB48qLoIjGz2p4RA
ITZY,None of My Business,https://youtu.be/FcQ6oB1JPiA?si=iN3zAaM7fgwF5js4,https://i.ytimg.com/vi/FcQ6oB1JPiA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwsS5FmeN4Sk4Ng9BHe79Vrp1srg
ITZY,CAKE,https://youtu.be/0bIRwBpBcZQ?si=T2Pr1PqpWQx8VFOF,https://i.ytimg.com/vi/0bIRwBpBcZQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqR_0TNk2rIDG61bwdhsqFWBNmwg
ITZY,BORN TO BE,https://youtu.be/4R7vRFGJr3k?si=GfljRa13npmfwK1s,https://i.ytimg.com/vi/4R7vRFGJr3k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBsPD_eMAL2P6IKkzMQPbhT8U-12A
ITZY,Mr. Vampire,https://youtu.be/VkIEfqHFNkU?si=AGwZro10FBvf8NvI,https://i.ytimg.com/vi/VkIEfqHFNkU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLColiwt6BPe3BS4Vbs-qDKrjdhO2Q
ITZY,UNTOUCHABLE,https://youtu.be/5e3rKInegeU?si=UL8KHjcLJ_HDctNE,https://i.ytimg.com/vi/5e3rKInegeU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4dtoMPN6TlhD8rwHJhumFwl11XA
NewJeans,Attention,https://youtu.be/js1CtxSY38I?si=8YovlSYDW3EjXPhl,https://i.ytimg.com/vi/js1CtxSY38I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBP2oxuAp-ZyjmNFK09gvp05XQptg
NewJeans,Hurt,https://youtu.be/tVIXY14aJms?si=ppveiMbtBs3MJuew,https://i.ytimg.com/vi/tVIXY14aJms/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgz2GdFIq667NEdh9fSyDLvl0b4Q
NewJeans,Hype Boy (MINJI ver.),https://youtu.be/Rrf8uQFvICE?si=PTUfvgPVyGjc7XEu,https://i.ytimg.com/vi/Rrf8uQFvICE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBS52fLd0FvVsTSv-hLUS82n5W1yQ
NewJeans,Hype Boy (DANIELLE&HAERIN ver.),https://youtu.be/9wUKhEgnllc?si=67vvsmvDJvaIbHjt,https://i.ytimg.com/vi/9wUKhEgnllc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHu64PKppX1fLBd6eCzIEF8FKWYA
NewJeans,Hype Boy (HYEIN ver.),https://youtu.be/j6r7Px6w2ik?si=mMrBtByAdyTZ3_MJ,https://i.ytimg.com/vi/j6r7Px6w2ik/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCe_26L4ZYMFfWPMkzfdHmsaSJplA
NewJeans,Hype Boy (HANNI ver.),https://youtu.be/jM-K-h9gUdM?si=0fIbceJQZ2-UrOef,https://i.ytimg.com/vi/jM-K-h9gUdM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTARP3CkcJlWvW4jJ5tzxssQ8WPw
NewJeans,Cookie,https://youtu.be/VOmIplFAGeg?si=9xV9EdopjrH8XF7o,https://i.ytimg.com/vi/VOmIplFAGeg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7IYn4r3l5bNbpOOdid15Y7k4M3Q
NewJeans,Ditto (side A),https://youtu.be/pSUydWEqKwE?si=mGVCJOhgSMidxn6B,https://i.ytimg.com/vi/pSUydWEqKwE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRjHHVaBIR6sbZEhkyPeTqRG3V7g
NewJeans,Ditto (side B),https://youtu.be/V37TaRdVUQY?si=eIBsuT9YowkckoHM,https://i.ytimg.com/vi/V37TaRdVUQY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmhwNYy4-xktJ4snvOi0xyOnEKNw
NewJeans,OMG,https://youtu.be/_ZAgIHmHLdc?si=kBP1Odok_lp-L5ES,https://i.ytimg.com/vi/_ZAgIHmHLdc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLChI5iZye7kgJsvN4Tw5CCNOpFD4Q
NewJeans,New Jeans,https://youtu.be/kcelgrGY1h8?si=lBGBp_juvmWLHCLy,https://i.ytimg.com/vi/kcelgrGY1h8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4gOAejkAs_YiUy0oLSm8xy7QZeQ
NewJeans,Super Shy,https://youtu.be/ArmDp-zijuc?si=5B9qCf0oM0V2oR5y,https://i.ytimg.com/vi/ArmDp-zijuc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBJ4oH9Dr4EMj5EifDD5mnxTD87A
NewJeans,Cool With You,https://youtu.be/zsYSSVoQnP4?si=KLn-Vau2PtOo2EdX,https://i.ytimg.com/vi/zsYSSVoQnP4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVXqS3o5-qAVEPfIiWffjqqZsL-Q
NewJeans,Cool With You & Get Up,https://youtu.be/nJDMAjwxthM?si=ic6cE8_92Cx6YAoj,
NewJeans,ETA,https://youtu.be/jOTfBlKSQYY?si=d-tLKdxHxm0SATHW,https://i.ytimg.com/vi/jOTfBlKSQYY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArh3cZH5mhLAFNpdrViGqyFU5XKQ
NewJeans,ASAP,https://youtu.be/dJdqn5v4Dkw?si=IFFj3ehhb9j60E3D,https://i.ytimg.com/vi/dJdqn5v4Dkw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsAoH19Bkqk8QewBGLf9nkvapNYQ
NewJeans,Bubble Gum,https://youtu.be/ft70sAYrFyY?si=WCGaoTfAc0Cs6ojc,https://i.ytimg.com/vi/ft70sAYrFyY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7p1GfgMLUf1JQzhLk4lm_yzRcgg
NewJeans,How Sweet,https://youtu.be/Q3K0TOvTOno?si=fRIADgGuk3NY-kch,https://i.ytimg.com/vi/Q3K0TOvTOno/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2YQCVXyUeb_-wqglwesTf570SIQ
